group (likely analyzer),histogram
Other / uncategorized,RecoilDQM/ecal_res_loc0-vs-N_hits
Other / uncategorized,RecoilDQM/ecal_res_loc0-vs-trk_p
Other / uncategorized,RecoilDQM/ecal_res_loc1-vs-N_hits
Other / uncategorized,RecoilDQM/ecal_res_loc1-vs-trk_p
Other / uncategorized,RecoilDQM/ecal_sp_hit_X
Other / uncategorized,RecoilDQM/ecal_sp_hit_Y
Other / uncategorized,RecoilDQM/fake_Chi2
Other / uncategorized,RecoilDQM/fake_Chi2_per_ndf
Other / uncategorized,RecoilDQM/fake_LayersHit
Other / uncategorized,RecoilDQM/fake_d0
Other / uncategorized,RecoilDQM/fake_nHits
Other / uncategorized,RecoilDQM/fake_nHoles
Other / uncategorized,RecoilDQM/fake_nShared
Other / uncategorized,RecoilDQM/fake_p
Other / uncategorized,RecoilDQM/fake_phi
Other / uncategorized,RecoilDQM/fake_qop
Other / uncategorized,RecoilDQM/fake_theta
Other / uncategorized,RecoilDQM/fake_z0
Other / uncategorized,RecoilDQM/match_LayersHit
Other / uncategorized,RecoilDQM/match_PID
Other / uncategorized,RecoilDQM/match_beam_angle
Other / uncategorized,RecoilDQM/match_d0
Other / uncategorized,RecoilDQM/match_electron_p
Other / uncategorized,RecoilDQM/match_kminus_p
Other / uncategorized,RecoilDQM/match_kplus_p
Other / uncategorized,RecoilDQM/match_nHits
Other / uncategorized,RecoilDQM/match_p
Other / uncategorized,RecoilDQM/match_phi
Other / uncategorized,RecoilDQM/match_piminus_p
Other / uncategorized,RecoilDQM/match_piplus_p
Other / uncategorized,RecoilDQM/match_positron_p
Other / uncategorized,RecoilDQM/match_prob
Other / uncategorized,RecoilDQM/match_proton_p
Other / uncategorized,RecoilDQM/match_qop
Other / uncategorized,RecoilDQM/match_theta
Other / uncategorized,RecoilDQM/match_z0
Other / uncategorized,RecoilDQM/nHits
Other / uncategorized,RecoilDQM/nHoles
Other / uncategorized,RecoilDQM/nShared
Other / uncategorized,RecoilDQM/ndf
Other / uncategorized,RecoilDQM/p
Other / uncategorized,RecoilDQM/p_err
Other / uncategorized,RecoilDQM/p_err_vs_p
Other / uncategorized,RecoilDQM/p_err_vs_p_10hits
Other / uncategorized,RecoilDQM/p_err_vs_p_8hits
Other / uncategorized,RecoilDQM/p_err_vs_p_9hits
Other / uncategorized,RecoilDQM/phi
Other / uncategorized,RecoilDQM/phi_err
Other / uncategorized,RecoilDQM/pt_beam
